COMP 361 Midterm scores
Last updated Tue Oct 28 17:19:31 CST 2003
Please contact the instructor if there is
an error in these scores.


 Stu ID		Score
---------------------
 00032883	94
 00159370	91
 00163694	95
 00650192	95
 01000916	74
 01008932	83
 01015571	50
 01040734	84
 01046362	87
 01058133	88
 01059448	68
 01078339	81
 01097983	77
 01106564	67
 01126722	89
 01142817	84
 01151129	92
 01161124	75
 01161162	77
 01161253	74
 01199119	79
 01222124	91
 01233408	90
 01245188	89
 01247265	80
 01251058	73
 01260920	79
 01264770	99
 01277313	78
 01281986	77
 01282497	85
 01283271	70
 01292454	66
 01324726	73
 01335816	94
 01359965	62
 01377759	92
 01426005	62
 01429071	91
 01436177	67
 01436505	83
 01443883	66
 01448182	87
 01458307	79
 01480427	86
 01491505	99
 01500722	88
 01505681	49
 01522213	85
 01538810	94
 01554802	79


AVG:	80.73
MAX:	99
MIN:	49
<60	2
60-69	7
70-79	14
80-89	15
90-100	13
